,Indicator,supply_ratio,cap_ratio
157,RENBTCUSDT,1.0000064165639189,1.0000064156550095
232,UFOUSDT,1.0,1.0
3,BNBUSDT,1.0,1.0
182,RENUSDT,1.0,1.0
187,STSOLUSDT,1.0,1.0
210,PEOPLEUSDT,1.0,1.0
57,FRAXUSDT,1.0,1.0
124,OMGUSDT,1.0,1.0
117,MSOLUSDT,1.0,1.0
75,HBTCUSDT,1.0,1.0
142,BNTUSDT,1.0,1.0
21,DAIUSDT,1.0,1.0
127,NXMUSDT,1.0,1.0
141,LPTUSDT,1.0,1.0
15,WBTCUSDT,1.0,1.0
19,STETHUSDT,0.9996827684434479,0.999682768430278
113,IOTXUSDT,0.9994274060601913,0.999427405698293
166,FEIUSDT,0.9993589375995051,0.9993589378660065
93,BATUSDT,0.998115363631567,0.9981153631138924
180,DESOUSDT,0.9744424307773145,0.9744424296809895
122,YFIUSDT,0.9577443320597888,0.9577443326207697
67,BTTUSDT,0.935880230879798,0.9358802305758518
80,ENJUSDT,0.9343406595675581,0.9343406594473674
76,QNTUSDT,0.9179784359376044,0.917978435943469
172,OHMUSDT,0.908722772765983,0.9087227734818125
233,XYOUSDT,0.9075243583439461,0.907524356255367
68,ONEUSDT,0.9069184014949212,0.9069184017253753
223,ICHIUSDT,0.9067789422475999,0.906778943916164
87,LRCUSDT,0.906496087502967,0.9064960875289455
25,BCHUSDT,0.9060547569834143,0.9060547570340384
64,XECUSDT,0.9058796868244285,0.9058796868784902
0,BTCUSDT,0.904872,0.9048719999997
152,RPLUSDT,0.8995445,0.8995445005997134
78,KSMUSDT,0.8980098074112339,0.8980098073401086
66,MKRUSDT,0.8963122140714368,0.8963122143616116
82,SNXUSDT,0.865985817922922,0.8659858181076788
50,AAVEUSDT,0.8547546497066459,0.8547546497342288
140,ZRXUSDT,0.8474960548122635,0.8474960551142903
22,LTCUSDT,0.833263044446087,0.833263044460907
132,ANKRUSDT,0.8162899377791667,0.8162899374149823
137,KUBUSDT,0.806818182,0.8068181821107205
42,FTMUSDT,0.8003630648850394,0.8003630648099063
231,FLEXUSDT,0.7974391546824856,0.7974391543159128
123,SUSHIUSDT,0.7711570234219268,0.7711570239354224
69,ARUSDT,0.7592197272727272,0.7592197272852546
168,JSTUSDT,0.7374166666666667,0.7374166669232324
158,SYNUSDT,0.7254180394455,0.7254180399863981
8,ADAUSDT,0.7125864592980778,0.7125864592973776
40,MANAUSDT,0.6903532022878959,0.6903532023186042
17,MATICUSDT,0.687289016427,0.687289016438676
47,GRTUSDT,0.6697271696,0.6697271696003755
104,COMPUSDT,0.6690824760976085,0.6690824761637584
28,ALGOUSDT,0.66383122760732,0.6638312275715202
18,NEARUSDT,0.661044286973222,0.6610442869540242
27,ETCUSDT,0.6359184391372282,0.6359184391227337
169,UMAUSDT,0.6165387703491603,0.6165387698202294
143,RACAUSDT,0.6102671241938199,0.6102671246103468
49,RUNEUSDT,0.601510349877341,0.6015103499383357
85,CHZUSDT,0.6012072653101207,0.6012072654434629
63,ZECUSDT,0.5855401864903238,0.585540186627601
61,FXSUSDT,0.582047050633942,0.5820470504650884
115,AUDIOUSDT,0.571527778152225,0.5715277778317475
242,GMXUSDT,0.5682227744295947,0.5682227746988509
212,CHRUSDT,0.567369439326204,0.5673694381684254
207,CELRUSDT,0.564545493582688,0.5645454938349678
65,CVXUSDT,0.5622838187884298,0.5622838188532758
88,NEXOUSDT,0.5600000100064,0.5600000101964803
160,ELONUSDT,0.5532159458775784,0.5532159459298225
205,KEEPUSDT,0.5497163002685891,0.549716299984257
227,COTIUSDT,0.52407074761,0.5240707479906744
138,WAXPUSDT,0.5193009635181616,0.5193009633833898
97,HEARTUSDT,0.0,1.0
